date,event
2017-04-17,['Monte-Carlo Rolex Masters (tennis men)']
2017-04-18,"['Monte-Carlo Rolex Masters (tennis men)', 'Champions League Quarterfinals Leg 2 (football men)']"
2017-04-19,"['Monte-Carlo Rolex Masters (tennis men)', 'Champions League Quarterfinals Leg 2 (football men)', 'European Artistic Gymnastics Championships (artistic gymnastics)']"
2017-04-20,"['Monte-Carlo Rolex Masters (tennis men)', 'European Artistic Gymnastics Championships (artistic gymnastics)']"
2017-04-21,"['Monte-Carlo Rolex Masters (tennis men)', 'European Artistic Gymnastics Championships (artistic gymnastics)', 'World Masters Games (multiple sports)']"
2017-04-22,"['Monte-Carlo Rolex Masters (tennis men)', 'European Artistic Gymnastics Championships (artistic gymnastics)', 'World Masters Games (multiple sports)', 'Fed Cup Semifinals (tennis women)', 'Porsche Tennis Grand Prix (tennis women)']"
2017-04-23,"['Monte-Carlo Rolex Masters (tennis men)', 'European Artistic Gymnastics Championships (artistic gymnastics)', 'World Masters Games (multiple sports)', 'Fed Cup Semifinals (tennis women)', 'Porsche Tennis Grand Prix (tennis women)']"
2017-04-24,"['World Masters Games (multiple sports)', 'Porsche Tennis Grand Prix (tennis women)', 'Barcelona Open BancSabadell (tennis men)']"
2017-04-25,"['World Masters Games (multiple sports)', 'Porsche Tennis Grand Prix (tennis women)', 'Barcelona Open BancSabadell (tennis men)']"
2017-04-26,"['World Masters Games (multiple sports)', 'Porsche Tennis Grand Prix (tennis women)', 'Barcelona Open BancSabadell (tennis men)']"
2017-04-27,"['World Masters Games (multiple sports)', 'Porsche Tennis Grand Prix (tennis women)', 'Barcelona Open BancSabadell (tennis men)', 'NFL Draft 2017 (American football)', 'FIFA Beach Soccer World Cup Bahamas 2017 (beach soccer)']"
2017-04-28,"['World Masters Games (multiple sports)', 'Porsche Tennis Grand Prix (tennis women)', 'Barcelona Open BancSabadell (tennis men)', 'NFL Draft 2017 (American football)', 'FIFA Beach Soccer World Cup Bahamas 2017 (beach soccer)', '2017 Formula 1 Russian Grand Prix (Formula 1)']"
2017-04-29,"['World Masters Games (multiple sports)', 'Porsche Tennis Grand Prix (tennis women)', 'Barcelona Open BancSabadell (tennis men)', 'NFL Draft 2017 (American football)', '2017 Formula 1 Russian Grand Prix (Formula 1)']"
2017-04-30,"['World Masters Games (multiple sports)', 'Porsche Tennis Grand Prix (tennis women)', 'Barcelona Open BancSabadell (tennis men)', '2017 Formula 1 Russian Grand Prix (Formula 1)']"
2017-05-01,['FIFA Beach Soccer World Cup Bahamas 2017 (beach soccer)']
2017-05-02,"['Champions League Semifinals Leg 1 (football men)', 'UEFA Women’s Under-17 Championship (football women)', 'FIFA Beach Soccer World Cup Bahamas 2017 (beach soccer)']"
2017-05-03,"['Champions League Semifinals Leg 1 (football men)', 'UEFA Women’s Under-17 Championship (football women)', 'UEFA European Under-17 Championship (football men)', 'FIFA Beach Soccer World Cup Bahamas 2017 (beach soccer)']"
2017-05-04,"['UEFA Women’s Under-17 Championship (football women)', 'UEFA European Under-17 Championship (football men)', 'FIFA Beach Soccer World Cup Bahamas 2017 (beach soccer)']"
2017-05-05,"['UEFA Women’s Under-17 Championship (football women)', 'UEFA European Under-17 Championship (football men)', 'Mutua Madrid Open (tennis)', 'IIHF Ice Hockey World Championship (ice hockey men)', 'Giro d’Italia (cycling)', 'FIFA Beach Soccer World Cup Bahamas 2017 (beach soccer)']"
2017-05-06,"['UEFA Women’s Under-17 Championship (football women)', 'UEFA European Under-17 Championship (football men)', 'Mutua Madrid Open (tennis)', 'IIHF Ice Hockey World Championship (ice hockey men)', 'Giro d’Italia (cycling)', 'FIFA Beach Soccer World Cup Bahamas 2017 (beach soccer)']"
2017-05-07,"['UEFA Women’s Under-17 Championship (football women)', 'UEFA European Under-17 Championship (football men)', 'Mutua Madrid Open (tennis)', 'IIHF Ice Hockey World Championship (ice hockey men)', 'Giro d’Italia (cycling)', 'FIFA Beach Soccer World Cup Bahamas 2017 (beach soccer)']"
2017-05-08,"['UEFA Women’s Under-17 Championship (football women)', 'UEFA European Under-17 Championship (football men)', 'Mutua Madrid Open (tennis)', 'IIHF Ice Hockey World Championship (ice hockey men)', 'Giro d’Italia (cycling)']"
2017-05-09,"['UEFA Women’s Under-17 Championship (football women)', 'UEFA European Under-17 Championship (football men)', 'Mutua Madrid Open (tennis)', 'IIHF Ice Hockey World Championship (ice hockey men)', 'Giro d’Italia (cycling)', 'Champions League Semifinals Leg 2 (football men)']"
2017-05-10,"['UEFA Women’s Under-17 Championship (football women)', 'UEFA European Under-17 Championship (football men)', 'Mutua Madrid Open (tennis)', 'IIHF Ice Hockey World Championship (ice hockey men)', 'Giro d’Italia (cycling)', 'Champions League Semifinals Leg 2 (football men)', 'Internazionali BNL d’Italia (tennis)']"
2017-05-11,"['UEFA Women’s Under-17 Championship (football women)', 'UEFA European Under-17 Championship (football men)', 'Mutua Madrid Open (tennis)', 'IIHF Ice Hockey World Championship (ice hockey men)', 'Giro d’Italia (cycling)', 'Internazionali BNL d’Italia (tennis)']"
2017-05-12,"['UEFA Women’s Under-17 Championship (football women)', 'UEFA European Under-17 Championship (football men)', 'Mutua Madrid Open (tennis)', 'IIHF Ice Hockey World Championship (ice hockey men)', 'Giro d’Italia (cycling)', 'Internazionali BNL d’Italia (tennis)', 'Formula 1 Gran Premio de España Pirelli (Formula 1)']"
2017-05-13,"['UEFA Women’s Under-17 Championship (football women)', 'UEFA European Under-17 Championship (football men)', 'Mutua Madrid Open (tennis)', 'IIHF Ice Hockey World Championship (ice hockey men)', 'Giro d’Italia (cycling)', 'Internazionali BNL d’Italia (tennis)', 'Formula 1 Gran Premio de España Pirelli (Formula 1)']"
2017-05-14,"['UEFA Women’s Under-17 Championship (football women)', 'UEFA European Under-17 Championship (football men)', 'Mutua Madrid Open (tennis)', 'IIHF Ice Hockey World Championship (ice hockey men)', 'Giro d’Italia (cycling)', 'Internazionali BNL d’Italia (tennis)', 'Formula 1 Gran Premio de España Pirelli (Formula 1)']"
2017-05-15,"['UEFA European Under-17 Championship (football men)', 'IIHF Ice Hockey World Championship (ice hockey men)', 'Giro d’Italia (cycling)', 'Internazionali BNL d’Italia (tennis)']"
2017-05-16,"['UEFA European Under-17 Championship (football men)', 'IIHF Ice Hockey World Championship (ice hockey men)', 'Giro d’Italia (cycling)', 'Internazionali BNL d’Italia (tennis)']"
2017-05-17,"['UEFA European Under-17 Championship (football men)', 'IIHF Ice Hockey World Championship (ice hockey men)', 'Giro d’Italia (cycling)', 'Internazionali BNL d’Italia (tennis)']"
