ds,event,total,Predicted_total,capacity,corona,ramadan_season,world_cup,pre_hajj_season,eid_al_fitr,eid_al_adha,expo_2020,air_show,diwali,comicon_dubai,international_expo,formula_1_grand_prix,shopping_festival,dubai_marathon,midterm_break,hajj_season,economic_slowdown,global_financial_tension,oil_price_surge
2022-08-18,['summer_season'],166.0,157.5696388081927,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-20,['summer_season'],141.0,186.7466190201393,354.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-03,[],449.0,386.00225389073097,516.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-08,[],158.0,107.70134307536168,330.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-27,[],164.0,152.4294174226298,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-13,[],211.0,193.05224910253344,234.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-12,"['hajj_season', 'eid_al_adha', 'summer_season']",121.0,107.11796158348484,174.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-02-05,[],163.0,180.20218880805217,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,[],401.0,388.5835114502004,428.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-26,['christmas_season'],480.0,473.7492137796567,491.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-10,['ramadan_season'],151.0,150.3398350123953,166.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,[],318.0,295.8848245849755,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-20,['summer_season'],82.0,69.01905787616235,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-18,['ramadan_season'],333.0,330.2683538392323,360.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-07,['summer_season'],139.0,137.45806329133563,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-09,['summer_season'],473.0,477.3176362963517,517.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-18,['summer_season'],70.0,95.65632810078256,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23,[],233.0,250.4899259887569,354.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-03,['summer_season'],461.0,457.3656477842487,491.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-30,['summer_season'],139.0,136.62610240194215,145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,"['hajj_season', 'eid_al_adha', 'summer_season']",19.0,54.80227796587275,174.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-24,['spring_season'],122.0,103.50982213148312,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-06,['summer_season'],347.0,342.2865065605328,354.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
